id,name,terminalName,lastCommWithServer,lat,long,installed,installDate,removalDate,temporary,public,capacity
1,20th & Bell St,31000,1.36837E+12,38.8561,-77.0512,TRUE,1.31606E+12,,FALSE,TRUE,11
2,18th & Eads St.,31001,1.36837E+12,38.85725,-77.05332,TRUE,1.28499E+12,,FALSE,TRUE,19
3,20th & Crystal Dr,31002,1.36837E+12,38.8564,-77.0492,TRUE,1.28446E+12,,FALSE,TRUE,15
4,15th & Crystal Dr,31003,1.36837E+12,38.860244,-77.050276,TRUE,1.28446E+12,,FALSE,TRUE,11
5,18th & Hayes St,31004,1.36837E+12,38.8573,-77.0574,TRUE,1.28446E+12,,FALSE,TRUE,10
6,15th & Hayes St,31005,1.36837E+12,38.8604,-77.0603,TRUE,1.28446E+12,,FALSE,TRUE,11
7,S Joyce & Army Navy Dr,31006,1.36837E+12,38.8637,-77.0633,TRUE,1.28446E+12,,FALSE,TRUE,11
8,Crystal City Metro / 18th & Bell St,31007,1.36837E+12,38.8573,-77.0511,TRUE,1.28447E+12,,FALSE,TRUE,19
9,12th & Army Navy Dr,31008,1.36837E+12,38.8629,-77.0528,TRUE,1.28447E+12,,FALSE,TRUE,11
10,27th & Crystal Dr,31009,1.36837E+12,38.848441,-77.051516,TRUE,1.28447E+12,,FALSE,TRUE,11
11,S Glebe & Potomac Ave,31010,1.36837E+12,38.8426,-77.0502,TRUE,1.28447E+12,,FALSE,TRUE,11
12,23rd & Crystal Dr,31011,1.36837E+12,38.8533,-77.0498,TRUE,1.28447E+12,,FALSE,TRUE,13
13,26th & Crystal Dr,31012,1.36837E+12,38.8518,-77.0498,TRUE,1.28447E+12,,FALSE,TRUE,11
14,19th St & Pennsylvania Ave NW,31100,1.36837E+12,38.9003,-77.0429,TRUE,1.28447E+12,,FALSE,TRUE,15
15,14th & V St NW,31101,1.36837E+12,38.9176,-77.0321,TRUE,1.28447E+12,,FALSE,TRUE,26
16,11th & Kenyon St NW,31102,1.36837E+12,38.929464,-77.027822,TRUE,1.28654E+12,,FALSE,TRUE,25
17,16th & Harvard St NW,31103,1.36837E+12,38.926088,-77.036536,TRUE,1.28447E+12,,FALSE,TRUE,33
18,Adams Mill & Columbia Rd NW,31104,1.36837E+12,38.922925,-77.042581,TRUE,1.28447E+12,,FALSE,TRUE,15
19,14th & Harvard St NW,31105,1.36837E+12,38.9268,-77.0322,TRUE,1.28447E+12,,FALSE,TRUE,19
20,Calvert St & Woodley Pl NW,31106,1.36837E+12,38.9236,-77.0501,TRUE,1.28447E+12,,FALSE,TRUE,23
21,Lamont & Mt Pleasant NW,31107,1.36837E+12,38.9319,-77.0388,TRUE,1.28447E+12,,FALSE,TRUE,19
22,4th & M St SW,31108,1.36837E+12,38.8767,-77.0178,TRUE,1.28447E+12,,FALSE,TRUE,18
23,15th & P St NW,31201,1.36837E+12,38.90985,-77.034438,TRUE,1.28447E+12,,FALSE,TRUE,19
24,14th & R St NW,31202,1.36837E+12,38.912682,-77.031681,TRUE,1.28447E+12,,FALSE,TRUE,15
25,14th & Rhode Island Ave NW,31203,1.36837E+12,38.9086,-77.0323,TRUE,1.28447E+12,,FALSE,TRUE,23
26,20th & E St NW,31204,1.36837E+12,38.8963,-77.045,TRUE,1.28447E+12,,FALSE,TRUE,14
27,21st & I St NW,31205,1.36837E+12,38.9008,-77.047,TRUE,1.28386E+12,,FALSE,TRUE,35
28,Georgia & New Hampshire Ave NW,31400,1.36837E+12,38.936043,-77.024649,TRUE,1.28447E+12,,FALSE,TRUE,15
29,14th St & Spring Rd NW,31401,1.36837E+12,38.9375,-77.0328,TRUE,1.28447E+12,,FALSE,TRUE,11
30,John McCormack Dr & Michigan Ave NE,31502,1.36837E+12,38.9346,-76.9955,TRUE,1.28447E+12,,FALSE,TRUE,10
31,5th St & K St NW,31600,1.36837E+12,38.90304,-77.019027,TRUE,1.28447E+12,,FALSE,TRUE,19
32,19th & East Capitol St SE,31601,1.36837E+12,38.8896,-76.9769,TRUE,1.28447E+12,,FALSE,TRUE,15
33,Park Rd & Holmead Pl NW,31602,1.36837E+12,38.9308,-77.0315,TRUE,1.28447E+12,,FALSE,TRUE,19
34,Good Hope & Naylor Rd SE,31700,1.36837E+12,38.8601,-76.9672,TRUE,1.28447E+12,,FALSE,TRUE,11
35,Connecticut Ave & Newark St NW / Cleveland Park,31305,1.36837E+12,38.934267,-77.057979,TRUE,1.28924E+12,,FALSE,TRUE,10
36,Randle Circle & Minnesota Ave SE,31702,1.36837E+12,38.878,-76.9607,TRUE,1.28447E+12,,FALSE,TRUE,11
37,Minnesota Ave Metro/DOES,31703,1.36837E+12,38.897063,-76.947446,TRUE,1.28447E+12,,FALSE,TRUE,11
38,Nannie Helen Burroughs & Minnesota Ave NE,31704,1.32137E+12,38.9016,-76.9422,FALSE,1.28447E+12,1.2984E+12,FALSE,TRUE,0
39,Anacostia Metro,31801,1.36837E+12,38.8624,-76.9949,TRUE,1.28447E+12,,FALSE,TRUE,10
40,Good Hope Rd & MLK Ave SE,31802,1.36837E+12,38.867373,-76.988039,TRUE,1.30529E+12,,FALSE,TRUE,11
41,19th & E Street NW,31206,1.36837E+12,38.8952,-77.0436,TRUE,1.28455E+12,,FALSE,TRUE,11
42,4th St & Rhode Island Ave NE,31500,1.36837E+12,38.919488,-77.000624,TRUE,1.28997E+12,,FALSE,TRUE,11
43,10th & U St NW,31111,1.36837E+12,38.9172,-77.0259,TRUE,1.28582E+12,,FALSE,TRUE,15
44,Georgia Ave and Fairmont St NW,31207,1.3682E+12,38.9249,-77.0222,TRUE,1.28504E+12,,FALSE,TRUE,11
45,1st & N St  SE,31209,1.36837E+12,38.8743,-77.0057,TRUE,1.28504E+12,,FALSE,TRUE,23
46,20th St & Florida Ave NW,31110,1.36837E+12,38.9154,-77.0446,TRUE,1.28522E+12,,FALSE,TRUE,15
47,7th & T St NW,31109,1.36837E+12,38.9155,-77.0222,TRUE,1.28574E+12,,FALSE,TRUE,15
48,23rd & Eads St,31013,1.36837E+12,38.853613,-77.053535,TRUE,1.28756E+12,,FALSE,TRUE,11
49,M St & New Jersey Ave SE,31208,1.36837E+12,38.8763,-77.0037,TRUE,1.28504E+12,,FALSE,TRUE,17
51,Massachusetts Ave & Dupont Circle NW,31200,1.36837E+12,38.9101,-77.0444,TRUE,1.28452E+12,,FALSE,TRUE,40
52,1st & M St NE,31603,1.36837E+12,38.9057,-77.0056,TRUE,1.28712E+12,,FALSE,TRUE,14
53,21st & M St NW,31212,1.36837E+12,38.9054,-77.0471,TRUE,1.28504E+12,,FALSE,TRUE,15
54,17th & K St NW [formerly 17th & L St NW],31213,1.36837E+12,38.90276,-77.03863,TRUE,1.30624E+12,,FALSE,TRUE,15
55,4th St & Massachusetts Ave NW,31604,1.36837E+12,38.9003,-77.016,TRUE,1.28703E+12,,FALSE,TRUE,14
56,3rd & D St SE,31605,1.36837E+12,38.8851,-77.0023,TRUE,1.2872E+12,,FALSE,TRUE,11
57,Potomac & Pennsylvania Ave SE,31606,1.36837E+12,38.8803,-76.9862,TRUE,1.28746E+12,,FALSE,TRUE,15
58,14th & D St SE,31607,1.36837E+12,38.884,-76.9861,TRUE,1.28737E+12,,FALSE,TRUE,15
59,17th & Corcoran St NW,31214,1.36837E+12,38.9121,-77.0387,TRUE,1.29408E+12,,FALSE,TRUE,19
60,Van Ness Metro / UDC,31300,1.36837E+12,38.944551,-77.063896,TRUE,1.28962E+12,,FALSE,TRUE,15
61,Florida Ave & R St NW,31503,1.36837E+12,38.9126,-77.0135,TRUE,1.29006E+12,,FALSE,TRUE,15
