Date,Total
2004-01-01,129000
2004-01-02,419000
2004-01-03,222000
2004-01-04,140000
2004-01-05,564000
2004-01-06,609000
2004-01-07,609000
2004-01-08,611000
2004-01-09,624000
2004-01-10,201000
2004-01-11,135000
2004-01-12,618000
2004-01-13,660000
2004-01-14,661000
2004-01-15,628000
2004-01-16,594000
2004-01-17,236000
2004-01-18,148000
2004-01-19,220000
2004-01-20,617000
2004-01-21,647000
2004-01-22,687000
2004-01-23,640000
2004-01-24,221000
2004-01-25,136000
2004-01-26,436000
2004-01-27,517000
2004-01-28,614000
2004-01-29,655000
2004-01-30,633000
2004-01-31,215000
2004-02-01,134000
2004-02-02,615000
2004-02-03,598000
2004-02-04,659000
2004-02-05,652000
2004-02-06,603000
2004-02-07,238000
2004-02-08,141000
2004-02-09,621000
2004-02-10,650000
2004-02-11,660000
2004-02-12,651000
2004-02-13,644000
2004-02-14,273000
2004-02-15,168000
2004-02-16,241000
2004-02-17,634000
2004-02-18,648000
2004-02-19,665000
2004-02-20,664000
2004-02-21,258000
2004-02-22,145000
2004-02-23,622000
2004-02-24,646000
2004-02-25,657000
2004-02-26,653000
2004-02-27,638000
2004-02-28,251000
2004-02-29,151000
2004-03-01,619000
2004-03-02,647000
2004-03-03,660000
2004-03-04,663000
2004-03-05,660000
2004-03-06,253000
2004-03-07,172000
2004-03-08,630000
2004-03-09,661000
2004-03-10,660000
2004-03-11,663000
2004-03-12,653000
2004-03-13,273000
2004-03-14,177000
2004-03-15,642000
2004-03-16,646000
2004-03-17,679000
2004-03-18,642000
2004-03-19,657000
2004-03-20,276000
2004-03-21,173000
2004-03-22,633000
2004-03-23,680000
2004-03-24,694000
2004-03-25,692000
2004-03-26,681000
2004-03-27,315000
2004-03-28,225000
2004-03-29,648000
2004-03-30,677000
2004-03-31,674000
2004-04-01,662000
2004-04-02,669000
2004-04-03,415000
2004-04-04,216000
2004-04-05,636000
2004-04-06,696000
2004-04-07,708000
2004-04-08,667000
2004-04-09,657000
2004-04-10,323000
2004-04-11,145000
2004-04-12,581000
2004-04-13,653000
2004-04-14,685000
2004-04-15,702000
2004-04-16,693000
2004-04-17,303000
2004-04-18,196000
2004-04-19,659000
2004-04-20,690000
2004-04-21,689000
2004-04-22,700000
2004-04-23,685000
2004-04-24,351000
2004-04-25,391000
2004-04-26,633000
2004-04-27,669000
2004-04-28,673000
2004-04-29,665000
2004-04-30,656000
2004-05-01,250000
2004-05-02,157000
2004-05-03,613000
2004-05-04,662000
2004-05-05,668000
2004-05-06,673000
2004-05-07,644000
2004-05-08,256000
2004-05-09,167000
2004-05-10,617000
2004-05-11,669000
2004-05-12,679000
2004-05-13,687000
2004-05-14,667000
2004-05-15,278000
2004-05-16,181000
2004-05-17,638000
2004-05-18,670000
2004-05-19,676000
2004-05-20,676000
